RSSI-Org;Robot Rot Z [deg];Reading Number;;;;;;phi;RSSI
-6223;60;3;;;;;;-30;-62.23
-6204;60;3;;;;;;-30;-62.04
-6223;60;3;;;;;;-30;-62.23
-6524;50;3;;;;;;-40;-65.24
-6495;50;3;;;;;;-40;-64.95
-6495;50;3;;;;;;-40;-64.95
-6495;50;3;;;;;;-40;-64.95
-6505;50;3;;;;;;-40;-65.05
-6514;50;3;;;;;;-40;-65.14
-6542;50;3;;;;;;-40;-65.42
-6843;40;3;;;;;;-50;-68.43
-6834;40;3;;;;;;-50;-68.34
-6881;40;3;;;;;;-50;-68.81
-6881;40;3;;;;;;-50;-68.81
-6853;40;3;;;;;;-50;-68.53
-6862;40;3;;;;;;-50;-68.62
-6834;40;3;;;;;;-50;-68.34
-6980;30;3;;;;;;-60;-69.8
-6980;30;3;;;;;;-60;-69.8
-7008;30;3;;;;;;-60;-70.08
-6961;30;3;;;;;;-60;-69.61
-6980;30;3;;;;;;-60;-69.8
-6989;30;3;;;;;;-60;-69.89
-6989;30;3;;;;;;-60;-69.89
-7534;20;3;;;;;;-70;-75.34
-7553;20;3;;;;;;-70;-75.53
-7591;20;3;;;;;;-70;-75.91
-7525;20;3;;;;;;-70;-75.25
-7478;20;3;;;;;;-70;-74.78
-7553;20;3;;;;;;-70;-75.53
-7497;20;3;;;;;;-70;-74.97
-7529;10;3;;;;;;-80;-75.29
-7539;10;3;;;;;;-80;-75.39
-7576;10;3;;;;;;-80;-75.76
-7595;10;3;;;;;;-80;-75.95
-7539;10;3;;;;;;-80;-75.39
-7576;10;3;;;;;;-80;-75.76
-7511;10;3;;;;;;-80;-75.11
-7576;0;3;;;;;;-90;-75.76
-7595;0;3;;;;;;-90;-75.95
-7680;0;3;;;;;;-90;-76.8
-7614;0;3;;;;;;-90;-76.14
-7689;0;3;;;;;;-90;-76.89
-7652;0;3;;;;;;-90;-76.52
-5847;100;4;;;;;;10;-58.47
-5847;100;4;;;;;;10;-58.47
-5828;100;4;;;;;;10;-58.28
-5856;100;4;;;;;;10;-58.56
-5856;100;4;;;;;;10;-58.56
-5847;100;4;;;;;;10;-58.47
-5847;100;4;;;;;;10;-58.47
-5847;110;4;;;;;;20;-58.47
-5875;110;4;;;;;;20;-58.75
-5884;110;4;;;;;;20;-58.84
-5866;110;4;;;;;;20;-58.66
-5894;110;4;;;;;;20;-58.94
-5875;110;4;;;;;;20;-58.75
-5884;110;4;;;;;;20;-58.84
-6077;120;4;;;;;;30;-60.77
-6077;120;4;;;;;;30;-60.77
-6077;120;4;;;;;;30;-60.77
-6077;120;4;;;;;;30;-60.77
-6068;120;4;;;;;;30;-60.68
-6077;120;4;;;;;;30;-60.77
-6340;130;4;;;;;;40;-63.4
-6340;130;4;;;;;;40;-63.4
-6322;130;4;;;;;;40;-63.22
-6340;130;4;;;;;;40;-63.4
-6340;130;4;;;;;;40;-63.4
-6378;130;4;;;;;;40;-63.78
-6660;140;4;;;;;;50;-66.6
-6622;140;4;;;;;;50;-66.22
-6707;140;4;;;;;;50;-67.07
-6641;140;4;;;;;;50;-66.41
-6660;140;4;;;;;;50;-66.6
-6641;140;4;;;;;;50;-66.41
-6679;140;4;;;;;;50;-66.79
-7224;150;4;;;;;;60;-72.24
-7318;150;4;;;;;;60;-73.18
-7233;150;4;;;;;;60;-72.33
-7243;150;4;;;;;;60;-72.43
-7346;150;4;;;;;;60;-73.46
-7356;150;4;;;;;;60;-73.56
-5856;80;4;;;;;;-10;-58.56
-5875;80;4;;;;;;-10;-58.75
-5828;80;4;;;;;;-10;-58.28
-5856;80;4;;;;;;-10;-58.56
-5875;80;4;;;;;;-10;-58.75
-5856;80;4;;;;;;-10;-58.56
-5983;70;4;;;;;;-20;-59.83
-5974;70;4;;;;;;-20;-59.74
-5983;70;4;;;;;;-20;-59.83
-5964;70;4;;;;;;-20;-59.64
-5974;70;4;;;;;;-20;-59.74
-5955;70;4;;;;;;-20;-59.55
-6204;60;4;;;;;;-30;-62.04
-6213;60;4;;;;;;-30;-62.13
-6260;60;4;;;;;;-30;-62.6
-6242;60;4;;;;;;-30;-62.42
-6242;60;4;;;;;;-30;-62.42
-6223;60;4;;;;;;-30;-62.23
-6538;50;4;;;;;;-40;-65.38
-6547;50;4;;;;;;-40;-65.47
-6538;50;4;;;;;;-40;-65.38
-6547;50;4;;;;;;-40;-65.47
-6557;50;4;;;;;;-40;-65.57
-6528;50;4;;;;;;-40;-65.28
-6528;50;4;;;;;;-40;-65.28
-6730;40;4;;;;;;-50;-67.3
-6777;40;4;;;;;;-50;-67.77
-6749;40;4;;;;;;-50;-67.49
-6768;40;4;;;;;;-50;-67.68
-6749;40;4;;;;;;-50;-67.49
-6768;40;4;;;;;;-50;-67.68
-7271;30;4;;;;;;-60;-72.71
-7233;30;4;;;;;;-60;-72.33
-7224;30;4;;;;;;-60;-72.24
-7299;30;4;;;;;;-60;-72.99
-7111;30;4;;;;;;-60;-71.11
-6933;30;4;;;;;;-60;-69.33
-7102;30;4;;;;;;-60;-71.02
-7647;20;4;;;;;;-70;-76.47
-7591;20;4;;;;;;-70;-75.91
-7647;20;4;;;;;;-70;-76.47
-7628;20;4;;;;;;-70;-76.28
-7675;20;4;;;;;;-70;-76.75
-7656;20;4;;;;;;-70;-76.56
-7591;20;4;;;;;;-70;-75.91
-7421;10;4;;;;;;-80;-74.21
-7421;10;4;;;;;;-80;-74.21
-7468;10;4;;;;;;-80;-74.68
-7403;10;4;;;;;;-80;-74.03
-7421;10;4;;;;;;-80;-74.21
-7440;10;4;;;;;;-80;-74.4
-7450;10;4;;;;;;-80;-74.5
-7581;0;4;;;;;;-90;-75.81
-7252;0;4;;;;;;-90;-72.52
-7572;0;4;;;;;;-90;-75.72
-7271;0;4;;;;;;-90;-72.71
-7205;0;4;;;;;;-90;-72.05
-7544;0;4;;;;;;-90;-75.44
