RSSI-Org;alpha;Reading Number;;RSSI
-5743;180;2;;-57.43
-5734;180;2;;-57.34
-5743;180;2;;-57.43
-5753;180;2;;-57.53
-5795;-170;2;;-57.95
-5786;-170;2;;-57.86
-5805;-170;2;;-58.05
-5786;-170;2;;-57.86
-5786;-170;2;;-57.86
-5786;-170;2;;-57.86
-5805;-170;2;;-58.05
-5762;-160;2;;-57.62
-5762;-160;2;;-57.62
-5762;-160;2;;-57.62
-5753;-160;2;;-57.53
-5762;-160;2;;-57.62
-5762;-160;2;;-57.62
-5781;-160;2;;-57.81
-5805;-150;2;;-58.05
-5814;-150;2;;-58.14
-5814;-150;2;;-58.14
-5795;-150;2;;-57.95
-5814;-150;2;;-58.14
-5805;-150;2;;-58.05
-5805;-150;2;;-58.05
-5753;-140;2;;-57.53
-5753;-140;2;;-57.53
-5762;-140;2;;-57.62
-5753;-140;2;;-57.53
-5743;-140;2;;-57.43
-5734;-140;2;;-57.34
-5762;-140;2;;-57.62
-5753;-130;2;;-57.53
-5772;-130;2;;-57.72
-5762;-130;2;;-57.62
-5762;-130;2;;-57.62
-5762;-130;2;;-57.62
-5772;-130;2;;-57.72
-5823;-120;2;;-58.23
-5805;-120;2;;-58.05
-5823;-120;2;;-58.23
-5842;-120;2;;-58.42
-5833;-120;2;;-58.33
-5842;-120;2;;-58.42
-5903;-110;2;;-59.03
-5884;-110;2;;-58.84
-5884;-110;2;;-58.84
-5903;-110;2;;-59.03
-5884;-110;2;;-58.84
-5875;-110;2;;-58.75
-5894;-100;2;;-58.94
-5941;-100;2;;-59.41
-5922;-100;2;;-59.22
-5931;-100;2;;-59.31
-5931;-100;2;;-59.31
-5931;-100;2;;-59.31
-5903;-100;2;;-59.03
-5941;-90;2;;-59.41
-5941;-90;2;;-59.41
-5950;-90;2;;-59.5
-5941;-90;2;;-59.41
-5941;-90;2;;-59.41
-5931;-90;2;;-59.31
-5960;-90;2;;-59.6
-5917;-80;2;;-59.17
-5927;-80;2;;-59.27
-5946;-80;2;;-59.46
-5936;-80;2;;-59.36
-5936;-80;2;;-59.36
-5955;-80;2;;-59.55
-5946;-80;2;;-59.46
-5997;-70;2;;-59.97
-6007;-70;2;;-60.07
-6007;-70;2;;-60.07
-5997;-70;2;;-59.97
-6007;-70;2;;-60.07
-6007;-70;2;;-60.07
-5946;-60;2;;-59.46
-5964;-60;2;;-59.64
-5946;-60;2;;-59.46
-5955;-60;2;;-59.55
-5946;-60;2;;-59.46
-5964;-60;2;;-59.64
-5917;-50;2;;-59.17
-5955;-50;2;;-59.55
-5955;-50;2;;-59.55
-5964;-50;2;;-59.64
-5936;-50;2;;-59.36
-5964;-50;2;;-59.64
-5880;-40;2;;-58.8
-5880;-40;2;;-58.8
-5870;-40;2;;-58.7
-5870;-40;2;;-58.7
-5889;-40;2;;-58.89
-5889;-40;2;;-58.89
-5852;-40;2;;-58.52
-5866;-30;2;;-58.66
-5866;-30;2;;-58.66
-5875;-30;2;;-58.75
-5866;-30;2;;-58.66
-5884;-30;2;;-58.84
-5856;-30;2;;-58.56
-5823;-20;2;;-58.23
-5852;-20;2;;-58.52
-5833;-20;2;;-58.33
-5833;-20;2;;-58.33
-5823;-20;2;;-58.23
-5852;-20;2;;-58.52
-5842;-20;2;;-58.42
-5837;-10;2;;-58.37
-5856;-10;2;;-58.56
-5828;-10;2;;-58.28
-5856;-10;2;;-58.56
-5828;-10;2;;-58.28
-5856;-10;2;;-58.56
-5866;-10;2;;-58.66
-5786;0;2;;-57.86
-5795;0;2;;-57.95
-5805;0;2;;-58.05
-5814;0;2;;-58.14
-5795;0;2;;-57.95
-5795;0;2;;-57.95
-5762;0;3;;-57.62
-5762;0;3;;-57.62
-5753;0;3;;-57.53
-5772;0;3;;-57.72
-5772;0;3;;-57.72
-5772;0;3;;-57.72
-5772;0;3;;-57.72
-5739;10;3;;-57.39
-5758;10;3;;-57.58
-5729;10;3;;-57.29
-5748;10;3;;-57.48
-5767;10;3;;-57.67
-5748;10;3;;-57.48
-5739;10;3;;-57.39
-5711;20;3;;-57.11
-5720;20;3;;-57.2
-5739;20;3;;-57.39
-5739;20;3;;-57.39
-5758;20;3;;-57.58
-5748;20;3;;-57.48
-5739;20;3;;-57.39
-5772;30;3;;-57.72
-5753;30;3;;-57.53
-5753;30;3;;-57.53
-5753;30;3;;-57.53
-5762;30;3;;-57.62
-5753;30;3;;-57.53
-5748;40;3;;-57.48
-5748;40;3;;-57.48
-5758;40;3;;-57.58
-5767;40;3;;-57.67
-5786;40;3;;-57.86
-5786;40;3;;-57.86
-5786;50;3;;-57.86
-5805;50;3;;-58.05
-5823;50;3;;-58.23
-5805;50;3;;-58.05
-5795;50;3;;-57.95
-5805;50;3;;-58.05
-5884;60;3;;-58.84
-5875;60;3;;-58.75
-5884;60;3;;-58.84
-5894;60;3;;-58.94
-5875;60;3;;-58.75
-5866;60;3;;-58.66
-5875;60;3;;-58.75
-5880;70;3;;-58.8
-5880;70;3;;-58.8
-5889;70;3;;-58.89
-5880;70;3;;-58.8
-5870;70;3;;-58.7
-5870;70;3;;-58.7
-5889;70;3;;-58.89
-5908;80;3;;-59.08
-5917;80;3;;-59.17
-5899;80;3;;-58.99
-5927;80;3;;-59.27
-5917;80;3;;-59.17
-5917;80;3;;-59.17
-5889;90;3;;-58.89
-5889;90;3;;-58.89
-5899;90;3;;-58.99
-5870;90;3;;-58.7
-5870;90;3;;-58.7
-5870;90;3;;-58.7
-5903;100;3;;-59.03
-5922;100;3;;-59.22
-5884;100;3;;-58.84
-5913;100;3;;-59.13
-5903;100;3;;-59.03
-5903;100;3;;-59.03
-5922;100;3;;-59.22
-5894;110;3;;-58.94
-5875;110;3;;-58.75
-5875;110;3;;-58.75
-5875;110;3;;-58.75
-5884;110;3;;-58.84
-5875;110;3;;-58.75
-5903;120;3;;-59.03
-5894;120;3;;-58.94
-5894;120;3;;-58.94
-5913;120;3;;-59.13
-5903;120;3;;-59.03
-5894;120;3;;-58.94
-5913;120;3;;-59.13
-5814;130;3;;-58.14
-5823;130;3;;-58.23
-5823;130;3;;-58.23
-5833;130;3;;-58.33
-5823;130;3;;-58.23
-5823;130;3;;-58.23
-5833;130;3;;-58.33
-5880;140;3;;-58.8
-5889;140;3;;-58.89
-5870;140;3;;-58.7
-5880;140;3;;-58.8
-5880;140;3;;-58.8
-5880;140;3;;-58.8
-5870;140;3;;-58.7
-5758;150;3;;-57.58
-5786;150;3;;-57.86
-5776;150;3;;-57.76
-5776;150;3;;-57.76
-5786;150;3;;-57.86
-5786;150;3;;-57.86
-5767;160;3;;-57.67
-5776;160;3;;-57.76
-5767;160;3;;-57.67
-5776;160;3;;-57.76
-5776;160;3;;-57.76
-5786;160;3;;-57.86
-5795;160;3;;-57.95
-5762;170;3;;-57.62
-5762;170;3;;-57.62
-5762;170;3;;-57.62
-5790;170;3;;-57.9
-5762;170;3;;-57.62
-5790;170;3;;-57.9
-5772;170;3;;-57.72
-5734;180;3;;-57.34
-5753;180;3;;-57.53
-5743;180;3;;-57.43
-5753;180;3;;-57.53
-5753;180;3;;-57.53
-5743;180;3;;-57.43
-5748;-170;3;;-57.48
-5729;-170;3;;-57.29
-5758;-170;3;;-57.58
-5767;-170;3;;-57.67
-5758;-170;3;;-57.58
-5748;-170;3;;-57.48
-5767;-160;3;;-57.67
-5767;-160;3;;-57.67
-5758;-160;3;;-57.58
-5748;-160;3;;-57.48
-5767;-160;3;;-57.67
-5776;-160;3;;-57.76
-5767;-160;3;;-57.67
-5762;-150;3;;-57.62
-5790;-150;3;;-57.9
-5772;-150;3;;-57.72
-5781;-150;3;;-57.81
-5781;-150;3;;-57.81
-5781;-150;3;;-57.81
-5790;-150;3;;-57.9
-5790;-140;3;;-57.9
-5781;-140;3;;-57.81
-5772;-140;3;;-57.72
-5781;-140;3;;-57.81
-5790;-140;3;;-57.9
-5790;-140;3;;-57.9
-5753;-140;3;;-57.53
-5753;-130;3;;-57.53
-5762;-130;3;;-57.62
-5772;-130;3;;-57.72
-5790;-130;3;;-57.9
-5790;-130;3;;-57.9
-5781;-130;3;;-57.81
-5753;-130;3;;-57.53
-5894;-120;3;;-58.94
-5884;-120;3;;-58.84
-5884;-120;3;;-58.84
-5903;-120;3;;-59.03
-5894;-120;3;;-58.94
-5894;-120;3;;-58.94
-5903;-120;3;;-59.03
-5917;-110;3;;-59.17
-5889;-110;3;;-58.89
-5880;-110;3;;-58.8
-5899;-110;3;;-58.99
-5880;-110;3;;-58.8
-5870;-110;3;;-58.7
-5908;-100;3;;-59.08
-5908;-100;3;;-59.08
-5899;-100;3;;-58.99
-5908;-100;3;;-59.08
-5908;-100;3;;-59.08
-5917;-100;3;;-59.17
-5908;-100;3;;-59.08
-5922;-90;3;;-59.22
-5931;-90;3;;-59.31
-5922;-90;3;;-59.22
-5922;-90;3;;-59.22
-5913;-90;3;;-59.13
-5950;-90;3;;-59.5
-5931;-90;3;;-59.31
-5960;-80;3;;-59.6
-5960;-80;3;;-59.6
-5978;-80;3;;-59.78
-5950;-80;3;;-59.5
-5950;-80;3;;-59.5
-5978;-80;3;;-59.78
-5950;-80;3;;-59.5
-5978;-70;3;;-59.78
-5969;-70;3;;-59.69
-5969;-70;3;;-59.69
-5969;-70;3;;-59.69
-5978;-70;3;;-59.78
-5988;-70;3;;-59.88
-5988;-70;3;;-59.88
-5936;-60;3;;-59.36
-5946;-60;3;;-59.46
-5964;-60;3;;-59.64
-5974;-60;3;;-59.74
-5955;-60;3;;-59.55
-5955;-60;3;;-59.55
-5964;-60;3;;-59.64
-5903;-50;3;;-59.03
-5894;-50;3;;-58.94
-5903;-50;3;;-59.03
-5884;-50;3;;-58.84
-5894;-50;3;;-58.94
-5894;-50;3;;-58.94
-5875;-40;3;;-58.75
-5894;-40;3;;-58.94
-5903;-40;3;;-59.03
-5884;-40;3;;-58.84
-5894;-40;3;;-58.94
-5903;-40;3;;-59.03
-5856;-30;3;;-58.56
-5856;-30;3;;-58.56
-5847;-30;3;;-58.47
-5875;-30;3;;-58.75
-5856;-30;3;;-58.56
-5894;-30;3;;-58.94
-5866;-30;3;;-58.66
-5847;-20;3;;-58.47
-5856;-20;3;;-58.56
-5875;-20;3;;-58.75
-5875;-20;3;;-58.75
-5866;-20;3;;-58.66
-5856;-20;3;;-58.56
-5875;-20;3;;-58.75
-5833;-10;3;;-58.33
-5833;-10;3;;-58.33
-5823;-10;3;;-58.23
-5823;-10;3;;-58.23
-5842;-10;3;;-58.42
-5842;-10;3;;-58.42
-5833;-10;3;;-58.33
-5833;0;3;;-58.33
-5842;0;3;;-58.42
-5833;0;3;;-58.33
-5833;0;3;;-58.33
-5852;0;3;;-58.52
-5852;0;3;;-58.52
-5758;0;4;;-57.58
-5776;0;4;;-57.76
-5786;0;4;;-57.86
-5776;0;4;;-57.76
-5776;0;4;;-57.76
-5767;0;4;;-57.67
-5795;0;4;;-57.95
-5729;10;4;;-57.29
-5748;10;4;;-57.48
-5767;10;4;;-57.67
-5767;10;4;;-57.67
-5758;10;4;;-57.58
-5748;10;4;;-57.48
-5786;20;4;;-57.86
-5776;20;4;;-57.76
-5795;20;4;;-57.95
-5776;20;4;;-57.76
-5795;20;4;;-57.95
-5776;20;4;;-57.76
-5786;20;4;;-57.86
-5767;30;4;;-57.67
-5758;30;4;;-57.58
-5758;30;4;;-57.58
-5748;30;4;;-57.48
-5739;30;4;;-57.39
-5758;30;4;;-57.58
-5795;40;4;;-57.95
-5795;40;4;;-57.95
-5823;40;4;;-58.23
-5814;40;4;;-58.14
-5795;40;4;;-57.95
-5823;40;4;;-58.23
-5842;50;4;;-58.42
-5833;50;4;;-58.33
-5823;50;4;;-58.23
-5852;50;4;;-58.52
-5842;50;4;;-58.42
-5842;50;4;;-58.42
-5842;50;4;;-58.42
-5875;60;4;;-58.75
-5866;60;4;;-58.66
-5884;60;4;;-58.84
-5866;60;4;;-58.66
-5884;60;4;;-58.84
-5856;60;4;;-58.56
-5875;60;4;;-58.75
-5837;70;4;;-58.37
-5847;70;4;;-58.47
-5847;70;4;;-58.47
-5875;70;4;;-58.75
-5866;70;4;;-58.66
-5866;70;4;;-58.66
-5847;70;4;;-58.47
-5880;80;4;;-58.8
-5899;80;4;;-58.99
-5889;80;4;;-58.89
-5908;80;4;;-59.08
-5899;80;4;;-58.99
-5899;80;4;;-58.99
-5931;90;4;;-59.31
-5950;90;4;;-59.5
-5931;90;4;;-59.31
-5950;90;4;;-59.5
-5950;90;4;;-59.5
-5960;90;4;;-59.6
-5931;90;4;;-59.31
-5913;100;4;;-59.13
-5922;100;4;;-59.22
-5913;100;4;;-59.13
-5922;100;4;;-59.22
-5913;100;4;;-59.13
-5922;100;4;;-59.22
-5913;100;4;;-59.13
-5899;110;4;;-58.99
-5899;110;4;;-58.99
-5889;110;4;;-58.89
-5899;110;4;;-58.99
-5889;110;4;;-58.89
-5899;110;4;;-58.99
-5899;110;4;;-58.99
-5861;120;4;;-58.61
-5852;120;4;;-58.52
-5852;120;4;;-58.52
-5852;120;4;;-58.52
-5861;120;4;;-58.61
-5861;120;4;;-58.61
-5837;130;4;;-58.37
-5856;130;4;;-58.56
-5847;130;4;;-58.47
-5847;130;4;;-58.47
-5856;130;4;;-58.56
-5856;130;4;;-58.56
-5805;140;4;;-58.05
-5823;140;4;;-58.23
-5795;140;4;;-57.95
-5814;140;4;;-58.14
-5805;140;4;;-58.05
-5823;140;4;;-58.23
-5805;140;4;;-58.05
-5776;150;4;;-57.76
-5767;150;4;;-57.67
-5776;150;4;;-57.76
-5776;150;4;;-57.76
-5776;150;4;;-57.76
-5776;150;4;;-57.76
-5795;150;4;;-57.95
-5725;160;4;;-57.25
-5734;160;4;;-57.34
-5734;160;4;;-57.34
-5734;160;4;;-57.34
-5734;160;4;;-57.34
-5734;160;4;;-57.34
-5743;160;4;;-57.43
-5725;170;4;;-57.25
-5715;170;4;;-57.15
-5715;170;4;;-57.15
-5725;170;4;;-57.25
-5715;170;4;;-57.15
-5734;170;4;;-57.34
-5725;180;4;;-57.25
-5725;180;4;;-57.25
-5715;180;4;;-57.15
-5706;180;4;;-57.06
-5687;180;4;;-56.87
-5696;180;4;;-56.96
-5734;-170;4;;-57.34
-5725;-170;4;;-57.25
-5743;-170;4;;-57.43
-5743;-170;4;;-57.43
-5734;-170;4;;-57.34
-5725;-170;4;;-57.25
-5734;-170;4;;-57.34
-5706;-160;4;;-57.06
-5696;-160;4;;-56.96
-5706;-160;4;;-57.06
-5696;-160;4;;-56.96
-5706;-160;4;;-57.06
-5706;-160;4;;-57.06
-5805;-150;4;;-58.05
-5795;-150;4;;-57.95
-5814;-150;4;;-58.14
-5814;-150;4;;-58.14
-5823;-150;4;;-58.23
-5805;-150;4;;-58.05
-5805;-150;4;;-58.05
-5847;-140;4;;-58.47
-5875;-140;4;;-58.75
-5856;-140;4;;-58.56
-5847;-140;4;;-58.47
-5847;-140;4;;-58.47
-5894;-140;4;;-58.94
-5772;-130;4;;-57.72
-5781;-130;4;;-57.81
-5809;-130;4;;-58.09
-5781;-130;4;;-57.81
-5772;-130;4;;-57.72
-5781;-130;4;;-57.81
-5809;-130;4;;-58.09
-5875;-120;4;;-58.75
-5847;-120;4;;-58.47
-5856;-120;4;;-58.56
-5875;-120;4;;-58.75
-5875;-120;4;;-58.75
-5894;-120;4;;-58.94
-5856;-120;4;;-58.56
-5875;-110;4;;-58.75
-5884;-110;4;;-58.84
-5875;-110;4;;-58.75
-5894;-110;4;;-58.94
-5875;-110;4;;-58.75
-5875;-110;4;;-58.75
-5894;-110;4;;-58.94
-5899;-100;4;;-58.99
-5899;-100;4;;-58.99
-5908;-100;4;;-59.08
-5917;-100;4;;-59.17
-5917;-100;4;;-59.17
-5917;-100;4;;-59.17
-5974;-90;4;;-59.74
-5974;-90;4;;-59.74
-5964;-90;4;;-59.64
-5964;-90;4;;-59.64
-5964;-90;4;;-59.64
-5974;-90;4;;-59.74
-5993;-90;4;;-59.93
-5950;-80;4;;-59.5
-5960;-80;4;;-59.6
-5960;-80;4;;-59.6
-5969;-80;4;;-59.69
-5960;-80;4;;-59.6
-5950;-80;4;;-59.5
-5941;-80;4;;-59.41
-5960;-70;4;;-59.6
-5960;-70;4;;-59.6
-5950;-70;4;;-59.5
-5950;-70;4;;-59.5
-5950;-70;4;;-59.5
-5941;-70;4;;-59.41
-5950;-70;4;;-59.5
-5922;-60;4;;-59.22
-5931;-60;4;;-59.31
-5913;-60;4;;-59.13
-5931;-60;4;;-59.31
-5941;-60;4;;-59.41
-5913;-60;4;;-59.13
-5913;-60;4;;-59.13
-5884;-50;4;;-58.84
-5903;-50;4;;-59.03
-5894;-50;4;;-58.94
-5894;-50;4;;-58.94
-5884;-50;4;;-58.84
-5894;-50;4;;-58.94
-5894;-40;4;;-58.94
-5931;-40;4;;-59.31
-5894;-40;4;;-58.94
-5903;-40;4;;-59.03
-5903;-40;4;;-59.03
-5894;-40;4;;-58.94
-5894;-40;4;;-58.94
-5866;-30;4;;-58.66
-5866;-30;4;;-58.66
-5875;-30;4;;-58.75
-5856;-30;4;;-58.56
-5866;-30;4;;-58.66
-5856;-30;4;;-58.56
