RSSI-Org;alpha;Reading Number;;RSSI
-5786;0;2;;-57.86
-5748;0;2;;-57.48
-5748;0;2;;-57.48
-5776;0;2;;-57.76
-5795;0;2;;-57.95
-5758;10;2;;-57.58
-5767;10;2;;-57.67
-5739;10;2;;-57.39
-5776;10;2;;-57.76
-5758;10;2;;-57.58
-5758;10;2;;-57.58
-5767;10;2;;-57.67
-5790;20;2;;-57.9
-5781;20;2;;-57.81
-5781;20;2;;-57.81
-5772;20;2;;-57.72
-5762;20;2;;-57.62
-5781;20;2;;-57.81
-5781;20;2;;-57.81
-5781;30;2;;-57.81
-5781;30;2;;-57.81
-5790;30;2;;-57.9
-5800;30;2;;-58
-5819;30;2;;-58.19
-5809;30;2;;-58.09
-5767;40;2;;-57.67
-5758;40;2;;-57.58
-5758;40;2;;-57.58
-5748;40;2;;-57.48
-5776;40;2;;-57.76
-5748;40;2;;-57.48
-5781;50;2;;-57.81
-5819;50;2;;-58.19
-5790;50;2;;-57.9
-5809;50;2;;-58.09
-5809;50;2;;-58.09
-5790;50;2;;-57.9
-5772;50;2;;-57.72
-5819;60;2;;-58.19
-5819;60;2;;-58.19
-5819;60;2;;-58.19
-5819;60;2;;-58.19
-5828;60;2;;-58.28
-5819;60;2;;-58.19
-5809;60;2;;-58.09
-5852;70;2;;-58.52
-5880;70;2;;-58.8
-5870;70;2;;-58.7
-5852;70;2;;-58.52
-5852;70;2;;-58.52
-5861;70;2;;-58.61
-5852;70;2;;-58.52
-5875;80;2;;-58.75
-5894;80;2;;-58.94
-5913;80;2;;-59.13
-5866;80;2;;-58.66
-5894;80;2;;-58.94
-5884;80;2;;-58.84
-5870;90;2;;-58.7
-5861;90;2;;-58.61
-5861;90;2;;-58.61
-5880;90;2;;-58.8
-5861;90;2;;-58.61
-5861;90;2;;-58.61
-5880;90;2;;-58.8
-5946;100;2;;-59.46
-5917;100;2;;-59.17
-5917;100;2;;-59.17
-5899;100;2;;-58.99
-5908;100;2;;-59.08
-5946;100;2;;-59.46
-5917;100;2;;-59.17
-5899;110;2;;-58.99
-5908;110;2;;-59.08
-5899;110;2;;-58.99
-5917;110;2;;-59.17
-5927;110;2;;-59.27
-5908;110;2;;-59.08
-5917;110;2;;-59.17
-5847;120;2;;-58.47
-5847;120;2;;-58.47
-5866;120;2;;-58.66
-5875;120;2;;-58.75
-5866;120;2;;-58.66
-5856;120;2;;-58.56
-5833;130;2;;-58.33
-5842;130;2;;-58.42
-5852;130;2;;-58.52
-5852;130;2;;-58.52
-5861;130;2;;-58.61
-5842;130;2;;-58.42
-5833;130;2;;-58.33
-5786;140;2;;-57.86
-5786;140;2;;-57.86
-5795;140;2;;-57.95
-5805;140;2;;-58.05
-5786;140;2;;-57.86
-5786;140;2;;-57.86
-5795;150;2;;-57.95
-5823;150;2;;-58.23
-5805;150;2;;-58.05
-5823;150;2;;-58.23
-5814;150;2;;-58.14
-5823;150;2;;-58.23
-5809;160;2;;-58.09
-5809;160;2;;-58.09
-5819;160;2;;-58.19
-5809;160;2;;-58.09
-5847;160;2;;-58.47
-5809;160;2;;-58.09
-5720;170;2;;-57.2
-5701;170;2;;-57.01
-5711;170;2;;-57.11
-5720;170;2;;-57.2
-5729;170;2;;-57.29
-5729;170;2;;-57.29
-5720;170;2;;-57.2
-5734;180;2;;-57.34
-5734;180;2;;-57.34
-5725;180;2;;-57.25
